Input,Throttle0,Throttle5,Throttle10,Throttle15,Throttle20,Throttle25,Rho,GearPass,SimulationSeconds
86,83.5967661288794,62.0435243439392,84.5186859385809,67.4277281561579,79.6021494651818,99.3907038593607,0.130408799957367,1,0.499687875
87,78.954849274186,75.3468485407555,79.8556058232273,88.4980096528054,90.2785952795208,72.3916584672845,0.225066911494256,1,0.553711375
88,71.7726008125505,64.2023581692348,97.7014140016661,75.9144797996421,72.1222098010457,85.1849912947301,0.210794375459854,1,0.53326225
89,66.0574501992999,71.6592777229821,92.7262007211142,80.2626308184051,69.4196315848097,85.9795499103327,0.22845669485056,1,0.530064958333333
90,93.0165910663303,79.8891913001832,74.9894743769022,65.8992915316578,75.8824588113538,70.7101025881121,0.193995700787804,1,0.545324
91,60.1457125508799,94.0028900929064,75.3028934648897,91.6978442786871,68.8423383920851,64.6061534815933,0.17489367839989,1,0.473620875
92,91.8207231193742,82.8990079188611,82.3714935425478,64.2620890591234,89.9433022566338,67.0392892382023,0.220581883592077,1,0.437309875
93,97.9967583784828,67.179445063171,65.2326472800153,89.508319159275,73.0834749472043,82.5038346478389,0.167456405544931,1,0.451331
94,62.0147147771699,71.0199524208973,72.4511362075446,87.9230055082409,87.0229319353365,92.4445196411504,0.14200696061346,1,0.453513666666667
95,74.8454050931235,69.0163434178149,96.5567796353403,62.2173791380876,67.9033370299515,89.9957052940071,0.137349976948487,1,0.44706775
96,80.918555430666,98.7759683877888,62.0070851137651,86.2194475405903,98.9322478368518,60.5647271639162,0.218820511443007,1,0.47393125
97,94.9496158245138,93.3925872759665,71.2112864655573,83.2311137679478,71.5189788511665,80.8862049945509,0.244304281651788,1,0.462314875
98,83.9354980280165,90.4516906350915,86.5252908501387,98.0957542703702,73.2265261954121,64.3733893985594,0.284843083029074,1,0.446497375
99,96.8888596867042,95.0657221712062,94.8619512992003,75.5776523274063,86.7067524701495,61.0824296358633,0.285929398335971,1,0.466536083333333
100,70.6605509561228,85.5396798307215,95.6770722948241,63.4116847821264,61.7535272194068,69.9459521073076,0.228607331682971,1,0.46370225
101,88.022560186343,97.0370404506023,64.2228409686659,66.7306142799853,74.8144640004473,67.6173266614579,0.196967727117714,1,0.457775541666667
102,66.4534547514679,70.3818463113042,89.1963652450518,99.0885233835924,75.1971925224562,69.325973132324,0.233288233683047,1,0.452151291666667
103,86.0965969532416,98.2604190861586,67.6957670649451,72.5971399316404,76.600910627883,77.9852363465509,0.214428572796173,1,0.45723975
104,76.1206635850304,85.8586357772289,79.0237671545743,81.0079083987988,97.8043337377304,70.1182821294697,0.230855617596363,1,0.461472958333333
105,67.4238328699214,96.6756040206029,88.0990239708105,68.5474863386978,64.8215718682223,98.5175717368538,0.232816496711117,1,0.468312666666667
106,81.5882212116743,81.0582256125358,62.8103978814612,62.7857815127013,89.0959413349181,81.415545815795,0.154442887267003,1,0.455992791666667
107,91.1196972545374,87.9915581153245,95.2671936114098,95.9568243405467,98.1918505629256,80.4453506984521,0.301110669895178,1,0.47644725
108,75.2372031488504,66.1997499057036,76.7644227440781,60.0722656294924,60.5182109142811,78.3148275044424,0.106885514875527,1,0.445359583333333
109,78.0942779104231,80.4232808349891,80.1026619447645,60.9275456509879,93.627538607722,91.8652271869156,0.189582656421395,1,0.455419166666667
110,73.7636460044757,61.8685450435533,63.5337651425901,64.8850182383345,81.2696093829835,74.6547063327769,0.0721646034520521,1,0.452880166666667
111,93.7561341863332,64.721428777349,83.6312849525382,83.9695255028684,65.4534187401322,92.5929538634234,0.180220157797561,1,0.469056666666667
112,92.2232169049345,73.6984916943081,77.1049736523495,90.4119818460822,85.0931699625746,90.2134863755771,0.215319842068791,1,0.448071916666667
113,99.5209647071736,91.7069943032369,83.7819586202201,77.4684774578357,87.8274322647043,76.1151509325974,0.266437142757908,1,0.454477666666667
114,79.7133830952241,81.5009713557455,78.2384256672338,78.9210077540262,83.5538700912146,65.7817720907992,0.223303828023941,1,0.446090583333333
115,80.5049790100749,78.5551784186532,99.0385780839403,72.1496924294162,66.7314983582576,84.4409760461437,0.251173046847735,1,0.449786958333333
116,99.1552894769224,92.0921086768831,92.2816174543064,78.5246196894207,65.9014953917498,93.2471373771905,0.290476137615041,1,0.600390875
117,61.8028997821797,60.6770520911648,61.1736314675716,69.7427332504156,96.0064366635821,71.6038881275224,0.0456906781970297,1,0.602964125
118,72.4550655420726,77.68567684878,66.6881992410561,74.6810202718277,63.2875470923639,73.8853759050546,0.156336807984107,1,0.585061208333333
119,70.1399166962487,82.3470939414455,86.0133344313756,96.4602726618038,96.6275131980415,68.2831034775581,0.252883813628836,1,0.571292083333333
120,63.3586793472656,60.5282391702048,60.5224832383685,97.1734245505159,88.6890301444272,75.1252616313659,0.0790395596417762,1,0.582415708333333
121,65.2876151136076,86.7792997270294,85.49270312324,82.0151081410184,63.7774966193439,99.1411910556963,0.220658728098866,1,0.613097333333333
122,89.0670992416349,72.1416555954084,67.4612542789801,73.8708410790148,94.2601725120202,88.0730693628732,0.167133511336037,1,0.603088791666667
123,73.7343812464812,84.3818751595462,69.6274753566671,68.8162998873191,76.9441811894379,63.3720380115585,0.170378690273999,1,0.54597925
124,90.5681118843529,91.0019100685924,70.5618893294718,86.7261809896355,82.9495102968147,94.6610726268067,0.243042487966556,1,0.592053625
125,88.3869575416393,87.1257642381224,80.7426470292774,68.0455584968647,77.8184446165509,83.2889329589051,0.226078416188521,1,0.571406416666667
126,62.5510717469477,74.1415415217614,68.3935020924623,93.3170198029052,60.7840306154491,98.079835483774,0.131781808360551,1,0.593114041666667
127,83.0699436816178,63.3117615083919,71.5108949164616,82.5946758736745,95.1703940465483,97.3557517781274,0.146670945679678,1,0.570401
128,96.2966540219105,77.1451271718548,74.158889982772,73.232447196677,80.9784667458235,91.17905179904,0.201150054276867,1,0.583327291666667
